Oslo,Trondheim,Bergen,Kristiansand,Tromsø,Stockholm,Malmö,Finland,Denmark,France
00 - 01,10.37,10.37,10.37,35.77,10.37,10.37,10.37,10.37,168.8,168.8
01 - 02,11.67,11.67,11.67,35.11,11.67,11.67,11.67,11.67,152.21,152.21
02 - 03,13.08,13.08,13.08,33.61,13.08,13.08,13.08,13.08,143,143
03 - 04,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,127,127
04 - 05,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,134.07,134.07
05 - 06,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,135.29,135.29
06 - 07,19.6,19.6,19.6,21.27,17.51,19.6,19.6,39.21,135.29,135.29
07 - 08,22.35,22.35,22.35,30.72,17.45,22.35,22.35,102.36,150.75,150.75
08 - 09,25.68,25.68,25.68,25.68,17.38,25.68,25.68,111.06,155.96,155.96
09 - 10,32.47,30.18,32.47,32.47,17.4,32.47,32.47,129.1,131.57,133.35
10 - 11,36.3,30.58,36.3,36.3,17.41,36.3,36.3,125.62,120.31,123.66
11 - 12,37.28,30.58,37.28,37.28,17.4,38.95,38.95,141.45,133,138.7
12 - 13,31.26,30.82,31.26,31.26,17.39,42.08,42.08,141.77,130.13,135
13 - 14,32.15,31.22,32.15,32.15,17.4,38.78,38.78,147.37,125,127.2
14 - 15,33.65,32.2,33.65,33.65,17.43,35.37,35.37,142.24,137.4,139.47
15 - 16,35.48,33.03,35.48,35.48,17.47,38.29,38.29,148.73,141.87,143.42
16 - 17,36.93,34.85,36.93,36.93,17.47,146.77,146.77,170.28,150.38,152.39
17 - 18,35.47,35.47,35.47,35.47,17.44,187.61,187.61,187.61,187.61,192.56
18 - 19,31.22,31.22,31.22,31.22,17.43,174.96,197.86,174.96,197.86,198.31
19 - 20,30.19,30.19,30.19,30.19,17.44,79.95,165.12,143.46,165.12,170.23
20 - 21,20.18,25.5,20.18,20.18,17.44,36.32,146.44,132.18,150.04,158.26
21 - 22,29.97,29.97,29.97,29.97,17.43,30.99,137.65,152.78,141.04,150.8
22 - 23,28.13,28.13,28.13,28.13,17.4,28.13,138,138,138,155.57
23 - 00,19.95,19.95,19.95,19.95,17.36,27.09,119.18,119.92,119.18,136.87